EnsemblProteinFamilyID(s)	HGNCsymbol
ENSFM00500000272205	DHFR
ENSFM00670001235743	KRTAP1-1
ENSFM00250000005577	NCSTN
ENSFM00730001521313	PCDHGA6
ENSFM00250000019417	CLDND2
ENSFM00700001403457	CLDND2
ENSFM00250000001385	IGSF9B
ENSFM00670001235672	MAT2B
ENSFM00250000002126	IQCA1
ENSFM00730001521313	PCDHGB2
ENSFM00500000276118	PCP2
ENSFM00550000767205	C2orf88
ENSFM00670001239667	C2orf88
ENSFM00550000745798	C2orf88
ENSFM00440000236881	ATP9A
ENSFM00730001521717	GUCY2F
ENSFM00500000275348	LDOC1
ENSFM00250000006574	METTL18
ENSFM00730001521384	MEIS2
ENSFM00740001612973	DONSON
ENSFM00250000006301	DONSON
ENSFM00670001248595	SPANXC
ENSFM00500000278147	SH2D1B
ENSFM00250000001065	AQP9
ENSFM00730001521546	OR5A2
ENSFM00670001235559	NCBP2L
ENSFM00500000277061	TMEM243
ENSFM00570000858113	TMEM243
ENSFM00550000766359	TMEM243
ENSFM00670001235748	IGHG2
ENSFM00670001235959	KRTAP2-1
ENSFM00260000051131	CLDN11
ENSFM00670001282393	TRAJ43
ENSFM00670001235556	GADD45G
ENSFM00670001282411	TRAJ25
ENSFM00250000008923	MESDC1
ENSFM00500000269854	DUSP2
ENSFM00500000273754	PFDN4
ENSFM00420000140705	HPDL
ENSFM00250000006341	EDC3
ENSFM00660001171553	EDC3
ENSFM00660001175591	EDC3
ENSFM00660001171556	EDC3
ENSFM00660001175592	EDC3
ENSFM00500000271749	TRDV2
ENSFM00730001521546	OR5A1
ENSFM00500000270046	CBS
ENSFM00250000001958	HOOK3
ENSFM00610000968848	HOOK3
ENSFM00670001282412	TRAJ24
ENSFM00250000002857	RNF144B
ENSFM00250000001147	SCNN1A
ENSFM00420000140646	ALDH7A1
ENSFM00550000768604	ALDH7A1
ENSFM00550000751659	ALDH7A1
ENSFM00250000000002	ZNF260
ENSFM00250000005912	NSUN7
ENSFM00730001521886	HAPLN3
ENSFM00500000271538	EIF4H
ENSFM00670001236908	DPPA5
ENSFM00730001521492	KIF13A
ENSFM00500000300826	KIF13A
ENSFM00670001282429	TRAJ6
ENSFM00740001589310	ZNF662
ENSFM00250000000002	ZNF662
ENSFM00550000753883	ZNF662
ENSFM00360000109982	PDZD2
ENSFM00580000910494	PDZD2
ENSFM00500000272996	FSD2
ENSFM00570000851190	PANX3
ENSFM00420000140559	CDK11B
ENSFM00670001282376	TRDJ2
ENSFM00730001521567	GOT2
ENSFM00660001189747	GOT2
ENSFM00640001120052	ZFP36L1
ENSFM00500000272407	ZFP36L1
ENSFM00250000000182	CCR2
ENSFM00760001714724	ARFGEF1
ENSFM00500000276040	PDF
ENSFM00250000001625	SMARCD2
ENSFM00680001326657	SMARCD2
ENSFM00680001326573	SMARCD2
ENSFM00680001326658	SMARCD2
ENSFM00740001589226	SELE
ENSFM00740001613461	SELE
ENSFM00500000377851	SS18L2
ENSFM00250000006189	YAE1D1
ENSFM00550000751309	YAE1D1
ENSFM00730001521755	ACADSB
ENSFM00250000000002	ZNF665
ENSFM00250000003503	PRPF38B
ENSFM00550000743612	SRSF8
ENSFM00720001503634	MTRNR2L13
ENSFM00730001522121	NR1H4
ENSFM00630001072269	NR1H4
ENSFM00630001072270	NR1H4
ENSFM00630001072271	NR1H4
ENSFM00250000001244	SPIRE2
ENSFM00660001182534	SPIRE2
ENSFM00250000001313	PACS2
ENSFM00250000000644	SLC38A5
ENSFM00760001762670	SLC38A5
ENSFM00600000921237	BCL11A
ENSFM00500000270946	PPM1G
ENSFM00250000001837	PAPSS2
ENSFM00500000269652	ATP2A1
ENSFM00660001189664	ATP2A1
ENSFM00660001189665	ATP2A1
ENSFM00660001189666	ATP2A1
ENSFM00500000271148	TGIF1
ENSFM00250000004213	INTS2
ENSFM00680001312219	INTS2
ENSFM00250000000950	PBX4
ENSFM00250000007072	SFTPC
ENSFM00730001522150	RET
ENSFM00250000009611	HSH2D
ENSFM00690001367725	HSH2D
ENSFM00760001752009	HSH2D
ENSFM00760001746817	HSH2D
ENSFM00690001374383	HSH2D
ENSFM00500000270278	TWF2
ENSFM00250000004048	F3
ENSFM00250000000898	PHIP
ENSFM00250000005684	ZNF185
ENSFM00250000001565	CDC14B
ENSFM00250000005557	TRAPPC3L
ENSFM00250000007192	YBEY
ENSFM00500000416990	YBEY
ENSFM00670001236790	COX6B1
ENSFM00690001369561	COX6B1
ENSFM00740001589577	TRAV9-2
ENSFM00500000273612	MVB12A
ENSFM00760001763677	CDC42EP5
ENSFM00730001521591	DSG1
ENSFM00250000000182	ACKR2
ENSFM00250000003233	DPH5
ENSFM00620001001980	DPH5
ENSFM00500000270304	FBXL2
ENSFM00550000769636	FBXL2
ENSFM00550000762980	FBXL2
ENSFM00550000762401	FBXL2
ENSFM00550000755279	FBXL2
ENSFM00550000751022	FBXL2
ENSFM00760001714593	ZNF182
ENSFM00740001589118	OR4D6
ENSFM00670001237908	WFDC12
ENSFM00260000050769	PLCE1
ENSFM00690001374411	ZNF529
ENSFM00690001374412	ZNF529
ENSFM00250000000002	ZNF529
ENSFM00250000007263	NIPSNAP3B
ENSFM00770001847620	ZNF543
ENSFM00360000111921	GRXCR2
ENSFM00730001521252	ZNF304
ENSFM00500000271211	CDIPT
ENSFM00670001269650	CDIPT
ENSFM00670001240732	SLX1A
ENSFM00500000273362	SLX1A
ENSFM00500000272580	LGALS12
ENSFM00680001318455	CCDC178
ENSFM00250000007904	CCDC178
ENSFM00500000273455	PLA2G1B
ENSFM00550000754210	PLA2G1B
ENSFM00250000001467	DMXL1
ENSFM00500000272092	PDGFB
ENSFM00760001718276	ADIG
ENSFM00500000384188	ADIG
ENSFM00500000286756	ADIG
ENSFM00730001522472	TRIM23
ENSFM00580000910540	TRIM23
ENSFM00580000910541	TRIM23
ENSFM00500000273312	DOK3
ENSFM00580000906802	DOK3
ENSFM00580000910658	DOK3
ENSFM00730001521936	DGKZ
ENSFM00610000970778	DGKZ
ENSFM00610000969780	DGKZ
ENSFM00790001963056	DHX29
ENSFM00260000050346	DHX29
ENSFM00500000274101	C17orf59
ENSFM00250000006580	INPP1
ENSFM00550000761663	INPP1
ENSFM00770001850802	INPP1
ENSFM00550000756083	INPP1
ENSFM00550000759806	INPP1
ENSFM00500000277215	C2orf68
ENSFM00550000762427	C2orf68
ENSFM00550000752335	C2orf68
ENSFM00670001248933	C2orf68
ENSFM00500000272986	GRPEL2
ENSFM00500000355108	GRPEL2
ENSFM00500000285804	XAGE1A
ENSFM00500000281508	XAGE1A
ENSFM00670001282373	TRDD3
ENSFM00250000008112	SHPK
ENSFM00710001441902	SCAF8
ENSFM00250000001494	ELMO3
ENSFM00250000006414	PREPL
ENSFM00550000753797	PREPL
ENSFM00550000750337	PREPL
ENSFM00250000002564	NOL10
ENSFM00790001962976	PGK2
ENSFM00670001282397	TRAJ39
ENSFM00250000003657	GFOD1
ENSFM00720001494568	GFOD1
ENSFM00500000277915	ZBED2
ENSFM00700001397925	ZNF83
ENSFM00700001401317	ZNF83
ENSFM00250000000002	ZNF83
ENSFM00700001401318	ZNF83
ENSFM00700001401319	ZNF83
ENSFM00700001401320	ZNF83
ENSFM00700001407653	ZNF83
ENSFM00700001401321	ZNF83
ENSFM00760001762990	LTBP4
ENSFM00740001589166	LTBP4
ENSFM00760001762991	LTBP4
ENSFM00760001762992	LTBP4
ENSFM00760001753403	LTBP4
ENSFM00630001070484	MUCL1
ENSFM00670001254042	MUCL1
ENSFM00760001748985	MUCL1
ENSFM00780001898335	PCDHGC5
ENSFM00500000270970	CEP57
ENSFM00620001021167	CEP57
ENSFM00620001015744	CEP57
ENSFM00620001021166	CEP57
ENSFM00620001015745	CEP57
ENSFM00250000009087	BPIFB1
ENSFM00400000131765	PDE1B
ENSFM00760001763509	PDE1B
ENSFM00630001070896	PDE1B
ENSFM00250000007081	CCDC74A
ENSFM00730001527479	CCDC74A
ENSFM00610000970987	GANAB
ENSFM00480000262753	GANAB
ENSFM00610000970989	GANAB
ENSFM00730001521215	INSR
ENSFM00500000271298	ACP1
ENSFM00770001850977	ACP1
ENSFM00550000751464	ACP1
ENSFM00500000345103	ACP1
ENSFM00250000009576	RHNO1
ENSFM00620001014080	RHNO1
ENSFM00620001014081	RHNO1
ENSFM00250000006588	TBCC
ENSFM00250000008681	CCDC116
ENSFM00750001632429	CETN3
ENSFM00600000940961	CETN3
ENSFM00720001500540	GCFC2
ENSFM00250000002130	GCFC2
ENSFM00720001501715	GCFC2
ENSFM00720001503483	GCFC2
ENSFM00250000001659	QSOX1
ENSFM00550000767742	QSOX1
ENSFM00670001282392	TRAJ44
ENSFM00500000270295	PTGFR
ENSFM00250000004087	IL1A
ENSFM00670001236873	ODF4
ENSFM00570000851149	AIM1L
ENSFM00670001282372	TRDD2
ENSFM00730001521916	NUBP2
ENSFM00670001262938	NUBP2
ENSFM00660001189598	NUBP2
ENSFM00660001189601	NUBP2
ENSFM00730001521313	PCDHGB3
ENSFM00570000851657	CRYGN
ENSFM00250000003971	TTC8
ENSFM00640001115409	TTC8
ENSFM00500000277613	FRG2
ENSFM00250000006450	FBXO43
ENSFM00600000944426	FBXO43
ENSFM00500000284829	QRFP
ENSFM00350000105459	GPR6
ENSFM00250000002118	TMEM87A
ENSFM00660001180483	TMEM87A
ENSFM00660001180484	TMEM87A
ENSFM00660001182142	TMEM87A
ENSFM00250000007935	FANCB
ENSFM00250000008540	CCNB1IP1
ENSFM00640001119955	CCNB1IP1
ENSFM00640001112720	CCNB1IP1
ENSFM00640001112721	CCNB1IP1
ENSFM00640001119956	CCNB1IP1
ENSFM00250000001524	TXLNA
ENSFM00500000274257	NRIP2
ENSFM00500000272450	ALYREF
ENSFM00500000271747	ENOPH1
ENSFM00500000270794	FOXF1
ENSFM00730001521066	OR5AS1
ENSFM00730001521311	SLX1A-SULT1A3
ENSFM00250000006773	SUSD1
ENSFM00610000973682	SUSD1
ENSFM00730001521536	PLXNB1
ENSFM00250000005243	ALAD
ENSFM00550000759868	ALAD
ENSFM00550000770374	ALAD
ENSFM00570000851385	NPIPB9
ENSFM00270000056553	COMTD1
ENSFM00750001632326	MYO5A
ENSFM00640001118150	MYO5A
ENSFM00250000013866	PVRIG
ENSFM00500000274923	SPACA5
ENSFM00250000008213	GPR151
ENSFM00250000000948	ACOT4
ENSFM00600000925490	S100A7L2
ENSFM00500000272740	TACO1
ENSFM00730001522033	PLAG1
ENSFM00670001282450	IGHD1OR15-1A
ENSFM00550000758782	SLC25A48
ENSFM00500000270645	SLC25A48
ENSFM00580000910603	SLC25A48
ENSFM00250000002244	NXPH3
ENSFM00500000291144	NOP10
ENSFM00650001148976	NOP10
ENSFM00400000132037	DBX2
ENSFM00600000921615	GAGE12C
ENSFM00250000009373	GLTSCR1L
ENSFM00250000001319	HOXA13
ENSFM00670001235990	TTC9B
ENSFM00250000002741	CTH
ENSFM00670001235664	SEC22C
ENSFM00550000768438	SEC22C
ENSFM00550000746979	SEC22C
ENSFM00550000758709	SEC22C
ENSFM00550000768842	SEC22C
ENSFM00560000820851	SEC22A
ENSFM00670001235664	SEC22A
ENSFM00560000823400	SEC22A
ENSFM00570000851482	ARFGEF3
ENSFM00250000000002	ZNF43
ENSFM00250000003682	DBT
ENSFM00250000000438	MYL3
ENSFM00550000762597	MYL3
ENSFM00600000921253	ATXN2
ENSFM00720001498735	ATXN2
ENSFM00500000295564	SPRR1A
ENSFM00600000921391	TMPO
ENSFM00760001750254	GPALPP1
ENSFM00250000005065	GPALPP1
ENSFM00250000006412	ACP6
ENSFM00760001750193	ACP6
ENSFM00500000269649	HIST4H4
ENSFM00250000005579	MED17
ENSFM00250000006129	FOXM1
ENSFM00620001014082	FOXM1
ENSFM00600000921183	HTR3B
ENSFM00670001282405	TRAJ31
ENSFM00250000001523	PTP4A2
ENSFM00610000962247	PTP4A2
ENSFM00610000962248	PTP4A2
ENSFM00610000962249	PTP4A2
ENSFM00610000962250	PTP4A2
ENSFM00610000973306	PTP4A2
ENSFM00250000008227	C15orf26
ENSFM00250000007310	FAM204A
ENSFM00500000269665	CTSG
ENSFM00730001521277	KLK11
ENSFM00700001403453	KLK11
ENSFM00250000002440	NGFR
ENSFM00580000910155	NGFR
ENSFM00500000273498	ENDOD1
ENSFM00500000270995	SLC2A13
ENSFM00500000278212	TMEM200C
ENSFM00250000005784	EXD2
ENSFM00250000002169	ATP6V1A
ENSFM00560000821945	ATP6V1A
ENSFM00500000281933	SPRR3
ENSFM00250000001095	DPF2
ENSFM00610000968769	DPF2
ENSFM00250000011735	PPP1R35
ENSFM00560000771041	DUSP21
ENSFM00730001522318	RIT1
ENSFM00250000001486	UBR4
ENSFM00250000002859	RPS16
ENSFM00500000277100	RPS16
ENSFM00700001403075	RPS16
ENSFM00500000275834	DFNB59
ENSFM00670001235551	FAHD1
ENSFM00390000126435	ZSCAN5D
ENSFM00670001282421	TRAJ14
ENSFM00250000000532	HKDC1
ENSFM00500000271680	NMNAT2
ENSFM00250000004400	METTL16
ENSFM00690001365011	METTL16
ENSFM00730001521477	SIPA1
ENSFM00610000971112	SIPA1
ENSFM00250000000936	ARID1B
ENSFM00610000952905	BSG
ENSFM00760001762929	BSG
ENSFM00710001457652	BSG
ENSFM00800002003400	EPB41L1
ENSFM00550000770782	EPB41L1
ENSFM00550000752086	EPB41L1
ENSFM00600000924928	EPB41L1
ENSFM00740001589199	EPPK1
ENSFM00500000270226	CHST7
ENSFM00670001235798	ITPRIP
ENSFM00250000000822	TEKT5
ENSFM00500000273926	PTRH2
ENSFM00500000294285	C2orf91
ENSFM00500000270111	MSI1
ENSFM00250000000002	ZNF768
ENSFM00250000004939	SOSTDC1
ENSFM00250000001980	TRIB3
ENSFM00260000051441	TEX13A
ENSFM00440000236914	RARS2
ENSFM00740001589936	HAVCR1
ENSFM00250000005202	SHARPIN
ENSFM00500000270079	CDYL
ENSFM00740001589334	SLC9A3R1
ENSFM00680001319867	SLC9A3R1
ENSFM00760001714720	PRKAA2
ENSFM00400000131715	GLRA2
ENSFM00500000270404	IL1RAPL2
ENSFM00760001715151	UBALD1
ENSFM00690001363242	UBALD1
ENSFM00690001374551	UBALD1
ENSFM00690001363243	UBALD1
ENSFM00690001364090	UBALD1
ENSFM00250000002491	DNAJC11
ENSFM00500000277291	OBP2B
ENSFM00730001523895	OBP2B
ENSFM00790001963038	NDUFS3
ENSFM00610000968304	NDUFS3
ENSFM00610000963075	NDUFS3
ENSFM00610000963076	NDUFS3
ENSFM00250000007292	UHMK1
ENSFM00250000004185	LMLN
ENSFM00250000006497	CCDC136
ENSFM00560000843893	CCDC136
ENSFM00560000847695	CCDC136
ENSFM00500000284697	ZNF747
ENSFM00740001589414	ZNF747
ENSFM00760001714676	PPP2R5A
ENSFM00250000005645	KIAA1598
ENSFM00250000001802	ARHGAP28
ENSFM00680001314835	ARHGAP28
ENSFM00680001319515	ARHGAP28
ENSFM00500000270069	RPL26L1
ENSFM00600000943513	RPL26L1
ENSFM00800002003427	SLC9A5
ENSFM00250000005889	ANKMY1
ENSFM00550000747163	ANKMY1
ENSFM00550000756745	ANKMY1
ENSFM00730001521528	HSPA9
ENSFM00580000910610	HSPA9
ENSFM00580000910611	HSPA9
ENSFM00580000910612	HSPA9
ENSFM00580000909271	HSPA9
ENSFM00730001521228	WNT11
ENSFM00610000971268	WNT11
ENSFM00760001714593	ZNF605
ENSFM00250000004902	BSDC1
ENSFM00610000955781	BSDC1
ENSFM00610000966464	BSDC1
ENSFM00500000272841	HRSP12
ENSFM00600000945475	HRSP12
ENSFM00740001593795	OVCH1
ENSFM00740001589399	OVCH1
ENSFM00560000831186	FBXO9
ENSFM00320000100134	FBXO9
ENSFM00250000005310	THOC6
ENSFM00250000003805	SCYL3
ENSFM00730001521248	DHX40
ENSFM00680001321312	DHX40
ENSFM00250000002354	SSR1
ENSFM00780001898394	MPI
ENSFM00660001189179	MPI
ENSFM00250000001236	BNIP2
ENSFM00550000755174	BNIP2
ENSFM00600000921309	GOLGA8J
ENSFM00640001116649	KTN1
ENSFM00640001120026	KTN1
ENSFM00640001116650	KTN1
ENSFM00250000002379	KTN1
ENSFM00640001116612	KTN1
ENSFM00640001120027	KTN1
ENSFM00250000002481	XYLT2
ENSFM00580000910169	XYLT2
ENSFM00670001278028	XYLT2
ENSFM00250000003087	VTN
ENSFM00500000271220	SPINT1
ENSFM00500000270040	AK3
ENSFM00250000002046	KCTD3
ENSFM00670001236060	ATP6V1G1
ENSFM00250000000779	NCAM1
ENSFM00560000841072	NDUFB2
ENSFM00670001236841	NDUFB2
ENSFM00560000818805	NDUFB2
ENSFM00560000799649	NDUFB2
ENSFM00560000807439	NDUFB2
ENSFM00560000828765	NDUFB2
ENSFM00660001157284	LYST
ENSFM00800002003733	AIFM3
ENSFM00550000766701	AIFM3
ENSFM00730001538562	STK19
ENSFM00500000270251	NPM1
ENSFM00600000938892	NPM1
ENSFM00500000275019	CT45A10
ENSFM00250000006846	MED29
ENSFM00500000273391	GINS2
ENSFM00700001400969	GINS2
ENSFM00700001400970	GINS2
ENSFM00250000009553	TCTE3
ENSFM00790001977174	SLC45A2
ENSFM00570000851034	ANKRD18B
ENSFM00720001503596	ANKRD18B
ENSFM00730001521446	SLC16A5
ENSFM00680001326693	SLC16A5
ENSFM00250000001393	CLTC
ENSFM00770001849685	CLTC
ENSFM00690001359233	CLTC
ENSFM00250000001764	ABI3BP
ENSFM00610000967045	ABI3BP
ENSFM00610000967331	ABI3BP
ENSFM00610000967332	ABI3BP
ENSFM00560000825177	ABI3BP
ENSFM00610000973678	ABI3BP
ENSFM00570000851149	CRYBG3
ENSFM00250000004306	POLR2C
ENSFM00660001181979	POLR2C
ENSFM00250000006989	THTPA
ENSFM00640001115074	THTPA
ENSFM00250000001058	RUFY1
ENSFM00730001521398	HDAC5
ENSFM00690001373038	HDAC5
ENSFM00690001373037	HDAC5
ENSFM00690001373039	HDAC5
ENSFM00250000000182	CX3CR1
ENSFM00700001406571	NFKB2
ENSFM00730001522091	NFKB2
ENSFM00700001403598	NFKB2
ENSFM00500000445638	LRRC72
ENSFM00500000288095	LRRC72
ENSFM00500000269875	PSMA8
ENSFM00680001306579	PSMA8
ENSFM00250000005151	HSPA12A
ENSFM00250000000220	TPM1
ENSFM00760001750292	TPM1
ENSFM00650001147721	TPM1
ENSFM00650001149044	TPM1
ENSFM00650001149045	TPM1
ENSFM00650001149047	TPM1
ENSFM00650001149048	TPM1
ENSFM00650001149049	TPM1
ENSFM00500000270053	FKBP5
ENSFM00250000005194	CEP41
ENSFM00560000814181	CEP41
ENSFM00560000801986	CEP41
ENSFM00500000304873	CEP41
ENSFM00250000001914	LARGE
ENSFM00550000754765	LARGE
ENSFM00550000748113	LARGE
ENSFM00730001521357	NTRK2
ENSFM00570000851010	NLRP14
ENSFM00500000270455	RBMY1B
ENSFM00550000746400	RBMY1B
ENSFM00500000270615	LRRFIP2
ENSFM00550000768688	LRRFIP2
ENSFM00550000757369	LRRFIP2
ENSFM00500000274002	VPS37C
ENSFM00250000005345	GINS1
ENSFM00670001235649	SRD5A2
ENSFM00250000000734	STAG3
ENSFM00730001521585	CERS3
ENSFM00650001149136	CERS3
ENSFM00250000020479	BPY2C
ENSFM00710001463924	BPY2C
ENSFM00500000273139	ALG14
ENSFM00610000968966	HTN3
ENSFM00500000347847	HTN3
ENSFM00690001356594	RGL3
ENSFM00690001370312	RGL3
ENSFM00250000006138	POC5
ENSFM00580000910555	POC5
ENSFM00580000906929	POC5
ENSFM00580000909078	POC5
ENSFM00250000001203	SGSM1
ENSFM00420000140541	OR6Y1
ENSFM00500000273694	VIP
ENSFM00420000140541	OR6P1
ENSFM00670001235789	SAP18
ENSFM00730001537762	SAP18
ENSFM00250000004964	IL17RE
ENSFM00550000747046	IL17RE
ENSFM00250000002854	MINA
ENSFM00580000909999	MINA
ENSFM00500000275870	RPRM
ENSFM00730001521181	OR10Z1
ENSFM00500000270782	TPT1
ENSFM00500000271506	PRPF38A
ENSFM00250000004892	SLC30A6
ENSFM00550000757007	SLC30A6
ENSFM00550000760241	SLC30A6
ENSFM00730001522392	NIM1K
ENSFM00250000000464	SPIN1
ENSFM00600000925652	HYPM
ENSFM00750001632335	GLUL
ENSFM00670001235549	CGB7
ENSFM00670001236563	LSM5
ENSFM00500000417057	LSM5
ENSFM00520000557226	LSM5
ENSFM00550000746593	LSM5
ENSFM00250000001541	STT3A
ENSFM00250000001530	CAST
ENSFM00580000906355	CAST
ENSFM00580000908559	CAST
ENSFM00580000906356	CAST
ENSFM00500000279423	C1orf64
ENSFM00250000003433	SRPX
ENSFM00500000273768	CLRN2
ENSFM00250000004189	PTCD3
ENSFM00520000544784	PTCD3
ENSFM00550000751455	PTCD3
ENSFM00250000004010	CNOT8
ENSFM00600000939758	CNOT8
ENSFM00600000939761	CNOT8
ENSFM00250000007244	GOLGA3
ENSFM00760001750859	GOLGA3
ENSFM00730001521154	SFN
ENSFM00500000277888	BHLHA15
ENSFM00250000007114	PRRT3
ENSFM00710001446922	RBP7
ENSFM00670001235722	RBP7
ENSFM00250000003088	GSE1
ENSFM00500000274303	VMO1
ENSFM00500000414386	VMO1
ENSFM00250000005199	MAP7D2
ENSFM00250000006731	C1orf112
ENSFM00250000000905	MSX2
ENSFM00250000005492	SIL1
ENSFM00500000444394	SIL1
ENSFM00250000001236	PRUNE2
ENSFM00660001189144	ADPGK
ENSFM00660001170373	ADPGK
ENSFM00660001170374	ADPGK
ENSFM00250000002925	ADPGK
ENSFM00660001175682	ADPGK
ENSFM00250000000210	CHI3L2
ENSFM00610000973404	CHI3L2
ENSFM00250000003457	PECAM1
ENSFM00250000001262	LRIG3
ENSFM00250000004620	USP39
ENSFM00760001763146	USP39
ENSFM00730001521631	SLCO1B1
ENSFM00250000006282	RNMTL1
ENSFM00260000050545	KCTD16
ENSFM00670001282430	TRAJ5
ENSFM00250000001423	PSEN1
ENSFM00640001116128	PSEN1
ENSFM00640001117417	PSEN1
ENSFM00650001147967	PSEN1
ENSFM00640001116129	PSEN1
ENSFM00640001116130	PSEN1
ENSFM00670001282378	TRAJ61
ENSFM00730001521790	PTH1R
ENSFM00250000000425	LMNB2
ENSFM00250000013447	SIGLEC15
ENSFM00730001521796	CPSF3
ENSFM00250000007011	COMMD9
ENSFM00250000002710	CUL9
ENSFM00580000908966	CUL9
ENSFM00610000969804	TMEM126A
ENSFM00450000242207	TMEM126A
ENSFM00730001521974	ADAMTS3
ENSFM00250000003951	PSMD11
ENSFM00680001318043	PSMD11
ENSFM00680001326532	PSMD11
ENSFM00260000050817	GTF3A
ENSFM00550000754533	GTF3A
ENSFM00680001317381	CRLF3
ENSFM00250000005214	CRLF3
ENSFM00680001317403	CRLF3
ENSFM00550000756705	EWSR1
ENSFM00500000270534	EWSR1
ENSFM00500000270143	UBE2N
ENSFM00630001065195	UBE2N
ENSFM00670001236473	S100A11
ENSFM00740001589130	ZAN
ENSFM00730001521896	RAB37
ENSFM00500000269650	IFNA5
ENSFM00740001589233	FBLN2
ENSFM00550000768897	FBLN2
ENSFM00600000921306	KCNK6
ENSFM00250000000002	ZNF835
ENSFM00500000288864	C2orf15
ENSFM00730001521631	SLCO1B7
ENSFM00670001262220	SLCO1B7
ENSFM00800002003454	FIGNL1
ENSFM00550000766744	FIGNL1
ENSFM00550000762760	FIGNL1
ENSFM00550000750395	FIGNL1
ENSFM00250000002349	ENTPD6
ENSFM00500000292396	LENEP
ENSFM00390000126421	SERPINF1
ENSFM00250000005236	MAF1
ENSFM00610000966649	MAF1
ENSFM00610000967084	MAF1
ENSFM00760001734949	PRAC2
ENSFM00790001963014	UAP1
ENSFM00740001589644	SPATA2L
ENSFM00440000236953	CLDN22
ENSFM00500000270015	TAGLN2
ENSFM00500000274633	LYG1
ENSFM00250000008746	ODF1
ENSFM00600000939675	ODF1
ENSFM00250000007063	RGS22
ENSFM00500000272605	IL20RA
ENSFM00670001235795	IL2RG
ENSFM00580000906085	IL2RG
ENSFM00250000000692	MITF
ENSFM00550000751758	MITF
ENSFM00800002003710	THBS2
ENSFM00800002003784	DDX31
ENSFM00600000921292	ATXN7L1
ENSFM00560000803866	ATXN7L1
ENSFM00250000005129	ENOSF1
ENSFM00710001447532	ENOSF1
ENSFM00250000000673	FOXP1
ENSFM00690001358116	FOXP1
ENSFM00500000269754	SOX9
ENSFM00250000002332	CRELD1
ENSFM00550000766569	CRELD1
ENSFM00250000001785	ZFYVE9
ENSFM00500000270220	TSSK4
ENSFM00550000754138	TSSK4
ENSFM00500000271066	SRRM1
ENSFM00700001402158	SRRM1
ENSFM00250000003076	MARCH11
ENSFM00580000906313	MARCH11
ENSFM00250000006082	NRDE2
ENSFM00640001120094	NRDE2
ENSFM00250000011727	C10orf82
ENSFM00250000007270	TMEM206
ENSFM00500000269596	SERPINB1
ENSFM00250000001135	ARHGEF6
ENSFM00730001521845	SLC24A2
ENSFM00760001763571	LHX9
ENSFM00760001763572	LHX9
ENSFM00500000269930	LHX9
ENSFM00300000086457	LHX9
ENSFM00620001020468	KCNK4
ENSFM00500000269905	KCNK4
ENSFM00800002003935	CALHM2
ENSFM00500000270752	CTDSPL2
ENSFM00650001147266	CTDSPL2
ENSFM00250000008276	MTERF2
ENSFM00630001060015	MTERF2
ENSFM00290000065531	TLR9
ENSFM00260000050809	RNF17
ENSFM00710001443403	ZNF630
ENSFM00760001714593	ZNF630
ENSFM00800002004081	ZNF630
ENSFM00550000752846	ZNF630
ENSFM00250000006943	STRC
ENSFM00740001589242	HELZ
ENSFM00680001319100	HELZ
ENSFM00250000007181	TRUB2
ENSFM00500000271015	RPL35A
ENSFM00550000769245	RPL35A
ENSFM00550000764935	RPL35A
ENSFM00250000006971	MSL1
ENSFM00680001314890	MSL1
ENSFM00720001492020	GRIA3
ENSFM00630001070780	CHST11
ENSFM00500000270627	CHST11
ENSFM00630001070781	CHST11
ENSFM00510000502761	PRKCI
ENSFM00250000008637	SPATA16
ENSFM00740001589274	ZCCHC11
ENSFM00610000966940	ZCCHC11
ENSFM00610000967866	ZCCHC11
ENSFM00670001236003	LRRC10B
ENSFM00610000973295	RPS6KA1
ENSFM00610000973296	RPS6KA1
ENSFM00570000851006	RPS6KA1
ENSFM00550000745917	RPS6KA1
ENSFM00250000008076	IZUMO4
ENSFM00300000083944	IZUMO4
ENSFM00800002003850	EP400
ENSFM00250000000220	TPM2
ENSFM00730001521177	FYN
ENSFM00740001598928	FYN
ENSFM00600000944112	FYN
ENSFM00250000007671	KCTD18
ENSFM00500000290405	SPTSSB
ENSFM00500000291829	SPTSSB
ENSFM00740001589334	SLC9A3R2
ENSFM00800002003402	GPD1
ENSFM00630001072169	GPD1
ENSFM00500000273680	FBXO36
ENSFM00250000008005	IL20RB
ENSFM00560000824189	IL20RB
ENSFM00560000827975	IL20RB
ENSFM00700001406771	NTF4
ENSFM00500000274956	NTF4
ENSFM00250000005337	RBSN
ENSFM00550000767786	RBSN
ENSFM00550000749678	RBSN
ENSFM00580000906657	RBSN
ENSFM00250000006696	C17orf53
ENSFM00450000242155	AP1G2
ENSFM00640001117652	AP1G2
ENSFM00500000270053	FKBP4
ENSFM00620001020890	FKBP4
ENSFM00620001014092	FKBP4
ENSFM00620001020891	FKBP4
ENSFM00400000131718	GABRB2
ENSFM00730001521354	NEFH
ENSFM00740001589808	FAM153A
ENSFM00580000910662	FAM153A
ENSFM00580000909160	FAM153A
ENSFM00580000910663	FAM153A
ENSFM00670001235755	HSPE1
ENSFM00520000536658	HSPE1
ENSFM00670001254807	ADM
ENSFM00500000273495	ADM
ENSFM00570000851158	WWC2
ENSFM00550000753202	WWC2
ENSFM00250000013864	C3orf36
ENSFM00250000008737	PRR18
